,University,Former names,Detailed_Location,Students,Undergraduates,Postgraduates,Url,Location,Established,Number of students,Tuition fee,Degree powers
62,Sheffield Hallam University,Sheffield PolytechnicSheffield City Polytechnic,"Sheffield, South Yorkshire, England53°22′45″N 1°27′53″W﻿ / ﻿53.379105°N 1.464706°W﻿ / 53.379105; -1.464706Coordinates: 53°22′45″N 1°27′53″W﻿ / ﻿53.379105°N 1.464706°W﻿ / 53.379105; -1.464706","30,715 (2018/19)[3]","24,320 (2018/19)[3]","6,400 (2018/19)[3]",https://en.wikipedia.org/wiki/Sheffield_Hallam_University,Sheffield,1992,"30,715","£9,250",Full
63,Regent's University London,,"Regent's Park, London, NW1 4NS, United Kingdom51°31′34″N 0°09′18″W﻿ / ﻿51.526°N 0.155°W﻿ / 51.526; -0.155Coordinates: 51°31′34″N 0°09′18″W﻿ / ﻿51.526°N 0.155°W﻿ / 51.526; -0.155","3,772 FT",,,https://en.wikipedia.org/wiki/Regent%27s_University_London,London,2013 (1984),–,- (private),Taught
64,Nottingham Trent University,,"Nottingham, England, UK","33,255 (2018/19)[4]","26,525 (2018/19)[4]","6,730 (2018/19)[4]",https://en.wikipedia.org/wiki/Nottingham_Trent_University,Nottingham,1992 (1843),"33,255","£9,250",Full
65,University of Kent,,"Canterbury, Medway and Tonbridge, United Kingdom; Brussels, Belgium; Athens, Greece; Paris, France; Rome, Italy","19,265 (2018/19)[5]","15,550 (2018/19)[5]","3,715 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Kent,"Canterbury, Medway, Tonbridge, Athens, Brussels, Paris, Rome",1965,"19,265","£9,250",Full
66,Plymouth University,"
Plymouth Polytechnic
Polytechnic South West
Rolle College
Exeter College of Art and Design
Seale-Hayne College
","Plymouth, England, UKCoordinates: 50°22′27″N 4°08′19″W﻿ / ﻿50.374121°N 4.138512°W﻿ / 50.374121; -4.138512","23,155[5]","20,080[5]","3,075[5]",https://en.wikipedia.org/wiki/Plymouth_University,Plymouth,1992 (1862)[13][14],"19,645","£9,250",Full
67,Oxford Brookes University,,"Oxford, England","16,665 (2018/19)[3]","12,785 (2018/19)[3]","3,885 (2018/19)[3]",https://en.wikipedia.org/wiki/Oxford_Brookes_University,Oxford,1992 (1970),"16,665","£9,250",Full
68,"St Mary's University, Twickenham",,"Strawberry Hill, Twickenham, London, United Kingdom51°26′15″N 0°20′06″W﻿ / ﻿51.4376°N 0.335°W﻿ / 51.4376; -0.335Coordinates: 51°26′15″N 0°20′06″W﻿ / ﻿51.4376°N 0.335°W﻿ / 51.4376; -0.335","5,490 (2018/19)[2]","3,535 (2018/19)[2]","1,955 (2018/19)[2]","https://en.wikipedia.org/wiki/St_Mary%27s_University,_Twickenham",Strawberry Hill (London),2014 (1850),"5,490","£9,250",Taught
69,University of Exeter,,"Exeter, DevonPenryn, Cornwall, England50°44′11″N 3°32′04″W﻿ / ﻿50.736509°N 3.534422°W﻿ / 50.736509; -3.534422Coordinates: 50°44′11″N 3°32′04″W﻿ / ﻿50.736509°N 3.534422°W﻿ / 50.736509; -3.534422","23,613 (2018/19)","18,932 (2018/19)","4,681 (2018/19)",https://en.wikipedia.org/wiki/University_of_Exeter,"Exeter, Penryn",1955 (1922),"25,010","£9,250",Full
70,Leeds Trinity University,All Saints CollegeTrinity CollegeLeeds Trinity & All Saints,"Horsforth, West Yorkshire, England53°50′55″N 1°38′53″W﻿ / ﻿53.84855°N 1.64809°W﻿ / 53.84855; -1.64809Coordinates: 53°50′55″N 1°38′53″W﻿ / ﻿53.84855°N 1.64809°W﻿ / 53.84855; -1.64809","3,415 (2018/19)[1]","2,710 (2018/19)[1]",705 (2018/19)[1],https://en.wikipedia.org/wiki/Leeds_Trinity_University,Leeds,2012 (1966),"3,415","£9,250",Taught
71,London South Bank University,"Borough Polytechnic Institute (1892-1970), Polytechnic of the South Bank (1970-1987), South Bank Polytechnic (1987-1992)","Southwark, London, England, United KingdomCoordinates: 51°29′53″N 0°06′06″W﻿ / ﻿51.49814°N 0.10154°W﻿ / 51.49814; -0.10154","17,125 (2018/19)[3]","12,600 (2018/19)[3]","4,525 (2018/19)[3]",https://en.wikipedia.org/wiki/London_South_Bank_University,Southwark (London),1992 (1892),"17,125","£9,000",Full
72,University of Liverpool,,"Liverpool, EnglandCoordinates: 53°24′22″N 2°58′01″W﻿ / ﻿53.406°N 2.967°W﻿ / 53.406; -2.967","29,695 (2018/19)[5]","22,735 (2018/19)[5]","6,960 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Liverpool,Liverpool,1903,"29,695","£9,250",Full
73,Kingston University,,"Kingston upon Thames, London, United Kingdom51°24′13″N 0°18′14″W﻿ / ﻿51.4035°N 0.3039°W﻿ / 51.4035; -0.3039Coordinates: 51°24′13″N 0°18′14″W﻿ / ﻿51.4035°N 0.3039°W﻿ / 51.4035; -0.3039","16,820 (2018/19)[5]","12,690 (2018/19)[5]","4,130 (2018/19)[5]",https://en.wikipedia.org/wiki/Kingston_University,Kingston upon Thames,1992 (1899),"16,820","£9,250",Full
74,Coventry University,Coventry Polytechnic (1987–1992)Lanchester Polytechnic (1970–1987),"Coventry, England52°24′29″N 1°30′22″W﻿ / ﻿52.40805°N 1.50600°W﻿ / 52.40805; -1.50600Coordinates: 52°24′29″N 1°30′22″W﻿ / ﻿52.40805°N 1.50600°W﻿ / 52.40805; -1.50600","34,985 (2018/19)[5]","29,005 (2018/19)[5]","5,980 (2018/19)[5]",https://en.wikipedia.org/wiki/Coventry_University,Coventry,1992 (1843),"34,985","£6,009–9,250",Full
75,University of Bath,,"Bath, Somerset, England51°22′47″N 2°19′41″W﻿ / ﻿51.3796°N 2.3280°W﻿ / 51.3796; -2.3280Coordinates: 51°22′47″N 2°19′41″W﻿ / ﻿51.3796°N 2.3280°W﻿ / 51.3796; -2.3280","18,065 (2018/19)[3]","13,415 (2018/19)[3]","4,655 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Bath,Bath,1966,"18,065","£9,250",Full
76,University of Hertfordshire,,"Hertfordshire, United Kingdom","24,280 (2018/19)[3]","18,145 (2018/19)[3]","6,135 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Hertfordshire,Hatfield,1992 (1952),"24,280","£9,250",Full
77,Birmingham City University,"
Birmingham College of Art
Birmingham Polytechnic
University of Central England in Birmingham
","Birmingham, West Midlands, United Kingdom52°28′56″N 1°53′19″W﻿ / ﻿52.48222°N 1.88861°W﻿ / 52.48222; -1.88861Coordinates: 52°28′56″N 1°53′19″W﻿ / ﻿52.48222°N 1.88861°W﻿ / 52.48222; -1.88861","25,855 HE (2018/19)[3]","20,480 (2018/19)[3]","5,380 (2018/19)[3]",https://en.wikipedia.org/wiki/Birmingham_City_University,Birmingham,1992 (1843),"25,855","£9,250",Full
78,University of Leicester,,"Leicester, England, UK","16,855 (2018/19)[4]","12,195 (2018/19)[4]","4,655 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Leicester,Leicester,1957 (1921),"16,855","£9,250",Full
79,University of Essex,,"Colchester, Essex, UK","14,760 (2017-18)[2]","11,370 (2017-18)[2]","3,390 (2017-18)[2]",https://en.wikipedia.org/wiki/University_of_Essex,Colchester,1964,"15,600","£9,250",Full
80,University of Gloucestershire,,"Cheltenham and Gloucester, England, UK51°53′16″N 2°05′20″W﻿ / ﻿51.887909°N 2.088797°W﻿ / 51.887909; -2.088797Coordinates: 51°53′16″N 2°05′20″W﻿ / ﻿51.887909°N 2.088797°W﻿ / 51.887909; -2.088797","9,220 (2017/18)[4]",,,https://en.wikipedia.org/wiki/University_of_Gloucestershire,"Cheltenham, Gloucester",2001 (1998),"8,255","£9,250",Full
81,University of Wolverhampton,,"Wolverhampton, England","19,045 (2018/19)[3]","15,410 (2018/19)[3]","3,635 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Wolverhampton,"Burton, Telford, Walsall, Wolverhampton",1992 (1969),"19,045","£9,250[15]",Full
82,Loughborough University,,"Loughborough, United Kingdom","18,439 (2018/2019)","13,660 (2018/19)[5]","4,365 (2018/19)[5]",https://en.wikipedia.org/wiki/Loughborough_University,Loughborough,1966,"18,025","£9,250",Full
83,London Metropolitan University,"University of North London, London Guildhall University, City of London Polytechnic, Polytechnic of North London, Northern Polytechnic Institute, North-Western Polytechnic, City of London College, Sir John Cass College of Arts and Science","London, England","9,200 (2018/19)[4]","7,085 (2018/19)[4]","2,115 (2018/19)[4]",https://en.wikipedia.org/wiki/London_Metropolitan_University,London,2002,"9,200","£6,750-9,250",Full
84,University of the West of England,,"Bristol, United Kingdom51°30′01″N 2°32′51″W﻿ / ﻿51.50021°N 2.54749°W﻿ / 51.50021; -2.54749Coordinates: 51°30′01″N 2°32′51″W﻿ / ﻿51.50021°N 2.54749°W﻿ / 51.50021; -2.54749","29,497 (2016/17)[1]","22,172 (2016/17)[1]","7,325 (2016/17)[1]",https://en.wikipedia.org/wiki/University_of_the_West_of_England,Bristol,1992 (1595),"29,555","£9,250",Full
85,Middlesex University,,"London, United Kingdom","19,635 (2018/19)[4]","14,765 (2018/19)[4]","4,865 (2018/19)[4]",https://en.wikipedia.org/wiki/Middlesex_University,Hendon (London),1992 (1973),"19,635","£9,250",Full
86,University of Nottingham,,"Nottingham, England, UK52°56′20″N 1°11′49″W﻿ / ﻿52.939°N 1.197°W﻿ / 52.939; -1.197Coordinates: 52°56′20″N 1°11′49″W﻿ / ﻿52.939°N 1.197°W﻿ / 52.939; -1.197","33,540 domestic (2018/19)[4] 43,893 worldwide[5]","25,070 domestic (2018/19)[4]","8,470 domestic (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Nottingham,Nottingham,1948 (1881),"33,540","£9,250",Full
87,University of Westminster,,"London, United Kingdom","18,885 (2018/19)[2]","14,775 (2018/19)[2]","4,105 (2018/19)[2]",https://en.wikipedia.org/wiki/University_of_Westminster,London,1992 (1838),"18,885","£9,250",Full
88,Newcastle University,,"Newcastle upon Tyne, Tyne and Wear, UK54°58′41″N 1°36′54″W﻿ / ﻿54.978°N 1.615°W﻿ / 54.978; -1.615Coordinates: 54°58′41″N 1°36′54″W﻿ / ﻿54.978°N 1.615°W﻿ / 54.978; -1.615","27,215 (2018/19)[4]","20,845 (2018/19)[4]","6,365 (2018/19)[4]",https://en.wikipedia.org/wiki/Newcastle_University,Newcastle,1963 (1834),"27,215","£9,250",Full
89,University of Surrey,,"Guildford, England","16,815 (2018/19)[5]","13,430 (2018/19)[5]","3,385 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Surrey,Guildford,1966 (1891),"16,815","£9,250",Full
90,University of Reading,,"Reading, Berkshire, United Kingdom51°26′31″N 0°56′44″W﻿ / ﻿51.44194°N 0.94556°W﻿ / 51.44194; -0.94556Coordinates: 51°26′31″N 0°56′44″W﻿ / ﻿51.44194°N 0.94556°W﻿ / 51.44194; -0.94556","17,805 (2018/19)[3]","12,585 (2018/19)[3]","5,215 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Reading,Reading,1926 (1892),"17,805","£9,250",Full
91,Open University,,"Milton Keynes and other centres, United Kingdom","168,215[4]","156,975[4]","11,240[4]",https://en.wikipedia.org/wiki/Open_University,Milton Keynes,1969,"101,490[Note 7]",-,Full
92,Keele University,,"Keele, Newcastle-under-Lyme, Staffordshire, United Kingdom53°00′11″N 2°16′23″W﻿ / ﻿53.003°N 2.273°W﻿ / 53.003; -2.273Coordinates: 53°00′11″N 2°16′23″W﻿ / ﻿53.003°N 2.273°W﻿ / 53.003; -2.273","10,865 (2018/19)[4]","8,455 (2018/19)[4]","2,410 (2018/19)[4]",https://en.wikipedia.org/wiki/Keele_University,Keele,1962 (1949),"10,865","£9,250",Full
93,University of East Anglia,,"Norwich, Norfolk, United Kingdom52°37′18″N 1°14′30″E﻿ / ﻿52.62167°N 1.24167°E﻿ / 52.62167; 1.24167Coordinates: 52°37′18″N 1°14′30″E﻿ / ﻿52.62167°N 1.24167°E﻿ / 52.62167; 1.24167","17,925 (2018/19)[5]","13,215 (2018/19)[5]","4,710 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_East_Anglia,Norwich,1963,"17,925","£9,250",Full
94,University of Warwick,,"Coventry, England, UK52°22′48.29″N 1°33′42.95″W﻿ / ﻿52.3800806°N 1.5619306°W﻿ / 52.3800806; -1.5619306Coordinates: 52°22′48.29″N 1°33′42.95″W﻿ / ﻿52.3800806°N 1.5619306°W﻿ / 52.3800806; -1.5619306","27,278[2]","15,998[2]","9,799[2]",https://en.wikipedia.org/wiki/University_of_Warwick,Coventry,1965,"26,080","£9,250",Full
95,University of Leeds,,"Leeds, West Yorkshire, England53°48′26″N 1°33′6″W﻿ / ﻿53.80722°N 1.55167°W﻿ / 53.80722; -1.55167Coordinates: 53°48′26″N 1°33′6″W﻿ / ﻿53.80722°N 1.55167°W﻿ / 53.80722; -1.55167","36,250 (2018/19)[4]","26,255 (2018/19)[4]","9,995 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Leeds,Leeds,1904,"36,250","£9,250",Full
96,University of Bristol,,"Bristol, England51°27′23″N 02°36′16″W﻿ / ﻿51.45639°N 2.60444°W﻿ / 51.45639; -2.60444Coordinates: 51°27′23″N 02°36′16″W﻿ / ﻿51.45639°N 2.60444°W﻿ / 51.45639; -2.60444","25,955 (2018/19)[6]","18,980 (2018/19)[6]","6,975 (2018/19)[6]",https://en.wikipedia.org/wiki/University_of_Bristol,Bristol,1909 (1876),"25,955","£9,250",Full
97,University of York,,"Heslington, York, England","19,470 (2018/19)[4]","14,030 (2018/19)[4]","5,435 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_York,York,1963,"19,470","£9,250",Full
98,University of Manchester,,"Manchester, England, United Kingdom","40,250 (2018/19)[5]","26,855 (2018/19)[5]","13,395 (2018/19)[5]",https://en.wikipedia.org/wiki/University_of_Manchester,Manchester,2004 (1824),"40,250","£9,250",Full
99,Lancaster University,,"Bailrigg, City of Lancaster, England54°00′37″N 2°47′08″W﻿ / ﻿54.01028°N 2.78556°W﻿ / 54.01028; -2.78556Coordinates: 54°00′37″N 2°47′08″W﻿ / ﻿54.01028°N 2.78556°W﻿ / 54.01028; -2.78556","15,979 (2019/20)[2]","11,419 (2019/20)[2]","4,560 (2019/20)[2]",https://en.wikipedia.org/wiki/Lancaster_University,Lancaster,1964,"14,465","£9,250",Full
100,University of London→ King's College London,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1829) founding college,"32,895","£9,250","Full, London"
101,University of Sussex,,"Falmer, East Sussex, England","21,319 (2019)[3]","14,925[3]","7,394[4]",https://en.wikipedia.org/wiki/University_of_Sussex,Falmer,1961,"19,155","£9,250",Full
102,"University of London→ Royal Holloway, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,Surrey,– (1849),"11,040","£9,250","Full, London"
103,University of London→ Heythrop College,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1614),-,No longer admitting students[12],"Full, London"
104,University of London→ University College London,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1826) founding college,"41,180","£9,250","Full, London"
105,University of Sheffield,University College of Sheffield,"Sheffield, South Yorkshire, EnglandCoordinates: 53°22′51″N 1°29′20″W﻿ / ﻿53.3807°N 1.4888°W﻿ / 53.3807; -1.4888","30,195 (2018/19)[4]","19,610 (2018/19)[4]","10,585 (2018/19)[4]",https://en.wikipedia.org/wiki/University_of_Sheffield,Sheffield,1905,"30,195","£9,250",Full
106,University of London→ Courtauld Institute of Art,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1932),495,"£9,250",London
107,University of London→ Institute of Cancer Research,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1909),265,p/g only,London
108,University of London,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,"London, Paris",1836,245[Note 5],- (Fees set by colleges),Full
109,University of London→ London School of Hygiene & Tropical Medicine,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1899),"1,170",p/g only,"Full, London"
110,University of London→ School of Oriental and African Studies,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1916),"5,800","£9,250","Full, London"
111,"University of London→ Queen Mary, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1887),"20,560","£9,250","Full, London"
112,"University of London→ City, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1894),"20,210","£9,250","Full, London"
113,University of London→ Royal Veterinary College,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,"London, Hertfordshire",– (1791),"2,525","£9,250","Full, London"
114,University of London→ Royal Central School of Speech and Drama,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1906),"1,055","£9,250",London
115,University of London→ London Business School,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1964),"2,075",p/g only,"Full, London"
116,"University of London→ St George's, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1733),"4,690","£9,250","Full, London"
117,"University of London→ Goldsmiths, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1904),"10,410","£9,250","Full, London"
118,University of London→ London School of Economics,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1895),"11,850","£9,250","Full, London"
119,"University of London→ Birkbeck, University of London",,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1823),"11,390","£9,250","Full, London"
120,University of London→ Royal Academy of Music,,"London, England, United Kingdom","Around 227,000 (178,735 internal[3] and around 48,000 in University of London Worldwide)[4]","101,230 internal (2018/19)[3]","77,510 internal (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_London,London,– (1822),880,"£9,250","Taught, London"
121,Imperial College London[Note 4],,"London, United Kingdom","19,115 (2018/19)[5]","9,985 (2018/19)[5]","9,130 (2018/19)[5]",https://en.wikipedia.org/wiki/Imperial_College_London,South Kensington (London),2007 (1907),"19,115","£9,250",Full
122,Durham University,,"Durham and Stockton-on-Tees, England","19,025 (2018/19)[3]","14,320 (2018/19)[3]","4,705 (2018/19)[3]",https://en.wikipedia.org/wiki/Durham_University,"Durham, Stockton",1832,"19,025","£9,250",Full
123,University of Birmingham,,"Birmingham, West Midlands, United Kingdom52°27′2″N 1°55′50″W﻿ / ﻿52.45056°N 1.93056°W﻿ / 52.45056; -1.93056Coordinates: 52°27′2″N 1°55′50″W﻿ / ﻿52.45056°N 1.93056°W﻿ / 52.45056; -1.93056","35,445 (2018/19)[6]","22,940 (2018/19)[6]","12,505 (2018/19)[6]",https://en.wikipedia.org/wiki/University_of_Birmingham,Birmingham,1900,"35,445","£9,250",Full
124,University of Cambridge,,"Cambridge, England, United Kingdom","23,247 (2019)[7]","12,354 (2019)","10,893 (2019)",https://en.wikipedia.org/wiki/University_of_Cambridge,Cambridge,1209,"20,890","£9,250",Full
125,University of Southampton,,"Southampton, United Kingdom","22,715 (2018/19)[3]","15,790 (2018/19)[3]","6,925 (2018/19)[3]",https://en.wikipedia.org/wiki/University_of_Southampton,Southampton,1952 (1902),"22,715","£9,250",Full
126,University of Oxford,,"Oxford, England, United Kingdom","24,515 (2019) [7]","11,955","12,010",https://en.wikipedia.org/wiki/University_of_Oxford,Oxford,1096,"25,390","£9,250",Full
